id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39569048,The Hills Home By Golf & 4 Mi to Lake Travis!,124060715,Evolve,,78738,30.35174,-97.99059,Entire home/apt,323,2,23,2021-12-04,0.80,50,282,13,
39578467,Home Base for Your Austin Adventure!,195478867,Casey,,78757,30.34278,-97.73659,Entire home/apt,69,30,11,2022-01-10,0.44,7,293,5,
39580699,WanderJaunt | Pickett | 2BR | South Congress,104309976,WanderJaunt,,78745,30.21025,-97.77249,Entire home/apt,165,1,56,2021-12-31,1.91,194,242,23,
39525120,Graffiti Quad B,216773995,Elizabeth,,78703,30.28402,-97.75959,Entire home/apt,175,20,25,2021-11-22,0.87,4,54,10,
39528087,"Great location, easy access to all of AUSTIN!",38259974,Nancy,,78759,30.41729,-97.76508,Entire home/apt,325,2,9,2021-09-19,0.31,1,105,5,
39532206,A PLACE TO BE LIKE HOME,296334798,Erick,,78754,30.36106,-97.64899,Private room,229,1,7,2021-04-21,0.24,7,141,1,
39533505,WanderJaunt | Underwood | 2BR | South Congress,104309976,WanderJaunt,,78745,30.2108,-97.7732,Entire home/apt,335,1,46,2022-02-20,1.62,194,256,28,
39534449,Lightsey Villa,287185686,Esther,,78704,30.23211,-97.76516,Entire home/apt,290,2,51,2021-09-19,1.75,1,0,19,
39534457,WanderJaunt | Horton | 1BR | South Congress,104309976,WanderJaunt,,78745,30.2106,-97.77242,Entire home/apt,235,1,42,2022-02-27,1.46,194,254,12,
39550526,17 BEDS ★ ON EAST 7TH STREET ★ MINS FROM DT & 6TH,204488171,Gunner,,78702,30.26,-97.71066,Entire home/apt,606,1,98,2022-02-21,3.39,2,294,61,
39581838,Lovely South Austin Mid-Century Home,15558644,Ruvani,,78744,30.19372,-97.73544,Private room,164,2,1,2019-11-04,0.03,2,0,0,
39588812,Modern Bungalow in the Heart of South Congress,18651055,Taylor,,78704,30.24641,-97.75434,Entire home/apt,700,3,0,,,2,0,0,
